Client: Deltek
"Program: Q2 All Combined (ID: 136996)"

Company,Category,Topic,ML Insights Score
Intertek(intertek.com),performance,performance measurement,98
Ipsos(ipsos.com),product development & qa,adaptive project management and reporting,68
Ipsos(ipsos.com),other,erp vendors,62
Ipsos(ipsos.com),cloud,enterprise cloud,99
Iri(iriworldwide.com),business solutions,project management software,99
Iri(iriworldwide.com),it management,saas operations management,90
Iri(iriworldwide.com),it management,on-premise applications,84
Iri(iriworldwide.com),cloud,enterprise cloud,68
Iri(iriworldwide.com),contracts,engineering procurement and construction (epc),80
Isobar(isobar.com),it management,saas operations management,91
Ivanti(ivanti.com),analytics & reporting,business intelligence,82
Ivanti(ivanti.com),cloud,cloud architect,65
Ivanti(ivanti.com),business finance,financial management services,68
Ivanti(ivanti.com),it management,saas operations management,65
J.S. Held Llc(jsheld.com),it management,saas operations management,89
Jacobs(jacobs.com),performance,performance measurement,89
Jacobs(jacobs.com),contracts,engineering procurement and construction (epc),89
Jacobs(jacobs.com),it management,saas operations management,84
Jacobs(jacobs.com),training & development,resource management,68
Jacobs(jacobs.com),other,construction erp,71
Jacobs(jacobs.com),translation & language,localization project management,73
Jcp(jcp.no),it management,saas operations management,78
Jk Tech(jktech.com),analytics & reporting,business intelligence platform,71
Jn Data(jndata.dk),it management,saas operations management,73
Jn Data(jndata.dk),operations,erp transformation,73
Kainos(kainos.com),cloud,enterprise cloud,62
Kainos(kainos.com),cloud,cloud erp,73
Kier Group(kier.co.uk),product development & qa,project collaboration,82
King's College London(kcl.ac.uk),product development & qa,adaptive project management and reporting,73
Kpf(kpf.com),it management,saas operations management,73
Kpmg(kpmg.com),it management,on-premise applications,91
Kpmg(kpmg.com),it management,saas operations management,90
Kpmg(kpmg.com),translation & language,localization project management,98
Kpmg(kpmg.com),business solutions,project management software,68
Kpmg(kpmg.com),other,construction erp,82
Ksn(ksn.ie),it management,saas operations management,84
Ku Leuven(kuleuven.be),cloud,cloud architect,68
Ku Leuven(kuleuven.be),operations,erp transformation,71
Ku Leuven(kuleuven.be),product development & qa,adaptive project management and reporting,71
Ku Leuven(kuleuven.be),it management,saas operations management,90
Ku Leuven(kuleuven.be),performance,performance measurement,98
Kyndryl(kyndryl.com),performance,performance measurement,89
Kyndryl(kyndryl.com),it management,saas operations management,96
Kyndryl(kyndryl.com),business finance,project finance,68
Kyndryl(kyndryl.com),cloud,enterprise cloud,71
Kyndryl(kyndryl.com),"budgeting, planning & strategy",resource allocation,80
Kyndryl(kyndryl.com),contracts,engineering procurement and construction (epc),96
Kyndryl(kyndryl.com),translation & language,localization project management,68
Kyndryl(kyndryl.com),"budgeting, planning & strategy",resource tracking,84
Kynetec(kynetec.com),cloud,enterprise cloud,94
L.E.K. Consulting(lek.com),product development & qa,adaptive project management and reporting,78
